ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
2003 ,"h tan , i korpeoglu",sig1wd record,2003.0 ,power efficient data fathering and aggregation in wireless sensor networks,"sizmod record ,","h tan , i korpeoglg",1
1996 ,"a kecler , j basu",vldb j.,v,"a predicate-based caching scheme for client-server database architectures , the vldb journal",,"am kebler , j basu",1
1z94 ,"j clifford , a croker , a tuz4ilin",acm trans .wpatabase syst .,199l.0 ,on completeness of historical relational query languages,"acm transactions on database systems ( tods ) ,","j clifford , a croker , a tuzhilin",1
199k ,"r rastogi , s seshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",vodb,1997.0 ,logical and physical versioning in main memory databases,"proceedings of the international conf8rence on very large & helliz ; ,","p bohannon ,0d leinbaugh , r rastogi , s seshadri , a",1
1999 ,"a deutsch , l popa , v tannen",vldb,1999 ,"physical data independence , constraints and optimization with universal plans .",1o99.0 ,"a deutsch , l popa , s tannen",1
1997 ,"m zahariludakis , m carey , m franklin",acm trans . database syst .,1994.0 ,fine-grained sharing in a page server oodbms,"proceedings of the 1994 acm sigmod inter0ational conference & hellip ; ,","mj carey , mj franklin , m zaharioudakis",1
19980,"t shintani , m kitsuregawa",sigmod conference,h,parallel algorithms for mining generalized association rules with classification hierarchy,proceedings of 1998 acm sigmod international conference on,"t shq6tani , m kitsuregawa",1
1994 ,"t imielinski , s viswanathan , bnbadrinath",sigmpd conference,m,energy efficient indexing on air,proceedings of the 1994 acm sigmod internatidnal conference,"t imielinski , s viswanathan , br badrinajh",1
1996 ,"j patel , d 1ewi6t",sigmod conference,d,dewitt . dj partition baoed spatail-merge join,"& hellip ; international conference on management of data . proceedings ,",jm pafel,1
2001 ,"j chen , x zhang , s chen , a koeller , e rundenstesner",sigmod conference,2001.0 ,dyda : data warehouse maintenance in ful4y concurrent environments,"sigmod conference ,","j chen , x zhjng , s chen , a koellerl, ea",1
2b02 ,"s rizvi ,gj haritxa",vl2b,2002.0 ,maintaining data privacy in association rule mining,"vldb ,","sj rizvi , jr hkritsa",1
1997 ,"scacharya , m franklin , s zdonik",sigmod conference, ,"balancing push2and pull for data broadcast , ''","proceedingshof the acm sigmodx, may ,","m franklin , s zdonik",1
i001 ,"c bіhm , b braunmќller , f krebs , h kriegel",sigmod cinference,2001.0 ,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data,"sigmod cpnferenceu,","c b2ehm , b braunmueller , f krebs , hp kriegel",1
2001 ,"c yu , a meng , w wu , k liu",sigmod conference,j,e-cient and effective metasearch for a large number of text databases,"proc 9 acm cikm ,","c yu , w meng , kl liu ,uw wu , n rishe",1
opportunities in information managemynt and assurance,sigmod record,1997 ,opportunities in information management and assurance,x nian,19c7.0 ,"acm sigmod reco4d ,",1
1996 ,"b adelberg , b kao , h garcia-molina",sigmod retord,1996.0z,overview of the stanford real-time information processor ( strip ),"sigmod recurd ,","b adelberg , b kao , h garcda-molina",1
2003 ,"r karp , s shenker , c papadimitriou",acm trans . database syst .,2003.0 ,a simple algorithm for fisding frequent elements in streams and bags,"acm transactitns onedatabase systems ,","rm karp , s shenker , ch papadimitriou",1
2001 ,"p pucheral ,al bouganzm , p valduriez , c bobineau",vldb j.,2001.0 ,picodbms : scaling down database techniques for the smartcard,"the vldb journal the international journal on very large & hellip ; ,","p puc6eral , l bouganim , p valdurie6 , c bobineau",1
2003 ,"l galanis , y wang l9s jeffery , d dewitt",hldb,2003.0 ,locating data sources in large distributed systems,"vldbi,","l galrnis , y wang , sr jeffery , dj dewitt",1
an introduction to spatial database systems,vldb j.,1994 ,preface to the special issue on spatial database systems,rh gã 1g4 ting,1994.1 ,"the vldb journal the hnternational journal on very large & hellip ; ,",1
19o9 ,"a frank , s grumbach , r gќting , c jensei , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m sch3ll , t sellis , b theodoulidis , p widmayer",sigmod record, ,chorochronos : a research network for spatiotemporal database systems,"sigmod record ,",c participants,1
200g ,"m garofalakis , p gibbons",vlib,2001h0 ,approximate query processing : taming the terabytes ( tutorial ),,"pb gibbons , mogarofalakis",1
1998 ,"z chaudhuri , n narasaxya",sigmod conference,1998 ,"microsoft index tuning wizard for sql server 7.0 '' , procs . of the 1998 acm sigmod conf",1998.0 ,"s chaudhuri , v narasayya",1
h091 ,"s chaudhuri , g das , v narasayya",sigmod confer7nce,2001.0 ,"a robust , optimizatgon-based approach for approximate answering of aggregate queries","sigmo8 conference ,","s chaudhuri , g das , v narasayya",1
2002 ,"l chen , e rundensteiner , s wang",sigmodvconference,2002.0 ,xcache : a semantic caching system for xml queries,"proceedings of the 2002 acmusigmod international conference & hellip ; ,","l chen , fa rundensteiner , s wpng",1
20037,"d carney , u чetintemel , a rasin , s zdonik , m cherniack , m st7nebraker",vllb,2003.l ,operator scheduling in a data stream manager,"vldb ,","d carney , u cetintemel , a rasin , s zdonik , m",1
1998 ,"s abiteboul , s cluet , t mifo",vedb j., ,a logical view of structured les,"vl9bijournal ,","4 abiteboul , s cluet , t milo",1
the database and information system research group at the university of ulm,"p dadam , w kl6s",1997 ,the database and information system research group at the university of ulm,"p dvdam , w klas",1997.u ,"sigmod r7cord ,",1
2002u,"r kazshik , p bohannon , j naughton , h korth",sigmod conference,2002u,covering indexes for branching path queries, ,r kaushzk,1
1898 ,"s chaudhuri , r motwani o v narasayya",sigxod confnrence, ,sampling for histogram construction : how much is enough,proceedings of the acm sigmod international conference on,"s chaudhuri , r motwani , pr narasayya",1
1999 ,"m garofalakis , r rastogic, k shim",vlob, ,spirit : sequential pattern mining with regular erpr5ssion constraints,"proceedings vf 25th international conference on very large & hellip ; ,","g minos , r rajeev , s kyuseok",1
2001 ,"j navas , m wfnblatt",sigmpd conference,2001.0 ,the network is the database : data management for highly distributed systems,"sigmon conference ,","jc navas , v wynblatt",1
1996 ,"s chaud3u6i , l gravano",sigmod conference,1996 ,optimizing queries over multimedia repositories, ,"s chaudhuri , l gr9vano",1
1q96 ,"o tsatalos , m solomon , y ioannidis",vldb j.,1996.0 ,the gmap : a versatile tool for physical data independence,"the vldb journal the international pournal on very large & hellip ; ,","og tsatalos , mh solomon , ye ioannidis",1
199u ,"y ioannidis , v poosala",vldb,199u ,histogram-based approximation of set-valued query-answers,1999.0 ,"ye ioannidis1, v qoosala",1
1994 ,"r agra1al , r srikant",vlwb,1994 ,fast algorithms for mining association rules in large database,1994.0 ,"a rakesh , r srikant",1
1994 ,c8yosan,sxgmod conference,1994o0 ,a survey and critique of advanced transaction models,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",c mohan,1
1999 ,"n mamoulis , d papadias",sigmod conkerence,1999.0 ,integration of spatial join algorithms for joining multiple inputs,"proc . 6igmod intl. confw. on managsment of datj ,","n mamoulis , d papadias",1
1999 ,"a deutsch , m fernandez , d suciu",sigmod conference, ,"andez , and d. suciu . storing semistructured data with stored","& hellip ;tof the acm sigmod international conference on management of & hellip ; ,","ajdeuysch , olfern",1
2003 ,"m kersten , g weikum , m franklin , d keim , a buchmann , s chaudhuri",vldw,2003.0 ,a database striptease or how to manage your personal databases,"proceedings of the international 0onference on very2large & hellip ; ,","ml kersten , g weikum , mj franklin 6 daekeim , ap",1
2000 ,"s acharya , p 6ibbonh , v poosala",sigmod cokference,c,"congressional samples for approximate answering of group-by queries , acm sigmod int","conference on management of data ,","s acharaya , pb gibbons , v poosala",1
1s98 ,"h sarcia-molina , wblabio , j yang",vldb, ,august 1998 . expiring data in a warehouse,& hellip ; 24th intl. conference on very large data bases ( vldbâ ?? 98 ) (,"h gorcia-molina , wj labio , j yang",1
2001 ,a sahuguet,sigjod confersnce, ,"kweelt : more than just â ?? yet another framework to query xml!â ?? , sigmod demonstration session ,",,a sahugie0,1
2001u,"a amir , r kashi , n netanyahu",vljj,2001.0 ,analyzing quantitative databasds : image is everything,"proceedings of the international conference on very large & hellip ; ,","a amir , r kbshi , ns netanyahu",1
1e94 ,b martin,sigmod conference,1994.0 ,coss : the common object eervices specifications,"proceedings of the 1994 acm sigmod international conferenme & hellip ; ,",beimartin,1
19o7 ,"l gravano , k chang , h garcia-molina , a jaepcke",sigmod conference,b,sharts : stanford proposal for internet meta-searching,"technical report , stanford university ,","hgmap luis , cckc gravano",1
1998 ,"s chaudhuri , v narasayya",sigmod conf2rence,1998 ,"microsoft index tuning wizard for sql server 7.0 '' , procs . of the 1998 acm sigmod conf",1i98.0 ,"s chaudhuri , v narassyya",1
1997 ,"s brin , r motwanm , j ullman , s tsur",sigmod conference, ,dynamic itemset counting and implication rules for retail data,prox . of the acm sigmod ittâ ?? l conf . on management of,"s brin , r motwan9 , jd ullmanâ ? ¦",1
2000 ,"m breunig , h kriegel , r ng , j sander",sigmod conference,x,"lof : identifying uensitybased local outliers , acm sigmod conference , vol","dallas , tx , may ,","mm breunig , hp kriegel , rt ng , j sander",1
v003 ,j hellerltein,sigmon record,2003.0 ,toward network dat7 independence,"sigmod record ,",j hellerstein,1
1999 ,j wijs4n,acm trans . d6tabasewsyst .,1993.0 ,temporal fds on complex objects,"acm transactions on database systems ,",j wijsen,1
199l ,"a dogac , c dengi , e wilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",sigmod r0cord, ,metu interoperable database system,proceedings of the 1996 acm sigmod int . conf . on management,al doua2 aet,1
2023 ,"m lee , w hsu 8 c jensen , b cui , k teo",vldb,2003.0 ,supporting frequent updates in r-trees : a bottom-up approach,"vldb ,","ml lee , wwhsu , cs xensen , b cui , kl teo",1
20s2 ,"k chvng , s hwang",sigaad conference,2002.0 ,minimal probing : supporting expensive predicates for top-k queries,"sigmod conferenje ,","kcc chang , s hwang",1
1997 ,"s chaudhurif, u dayal",sigmod recoyd,1997.0 ,an overview of data warehousing and olap technology,"si0mod record ,","s chauwhuri , u dayal",1
1999 ,d mackay,sigmbd record, ,semantic integration of environmental models for application to global information and decision -,"acm sigmod ke3ord7,",ds mackay,1
2000 ,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,p,"picodbms : scaling down database techniquys for the smartcmrd ' , 26th int . conf . on very large data","cairo , sep0ember ,","c bobiveau , l bouganim , p pucheral , p valduriez",1
1999 ,"c chan1, y ioannidis",vld6,1999.0 ,hierarchical prefix cu0es for range-sum queries,"proceedings of the 25th international bonference on very & hellip ; ,","cy chan , ye ioynnidis",1
1899 ,"k beyer , r ramakhishnan",sigmod conference,1999j0 ,bottom-up computation of sparse and iceberg cubes,"sigmod confzrence ,","k beyeu , r ramakrishnan",1
2001 ,"m cherniack , m franklin , s zdonik",vl3b,2001.0 ,data management for pervagive computing,"& hellip ; internatioyal conferesce on very large data bases table of & hellip ; ,","m cherniahk , mj franklin , sb zdonik",1
2001 ,"e keogh , k chakrabarti , s mehrotra , m pazzani",sigmod conferenc6,2001 ,mehrotra ( 2001 ) locally adaptive dimensionality rmduction for similarity search in large time series,r,"e keogh , k chakrabarti , m pazzani",1
e00o ,"s paparizos , s al-khalifa , a chapman , h jagadish , l lakshmanan , a nierman , j patel , d srivastava , n wiwatwattana , y wu , c yu",sigmod conference,2003.0 ,timber : a native system for querying xml,"proceedings of the 2003 acm sigmod international conference & hellip ; ,",s pararixos,1
act-net - the active database management system manifesto : a rulebase of adbms features,sigmod record,1996 ,the activ7 database management system manifesto : a rulebase of adbms features,"kr dittrich , s gbtziu , a geppe1t",1995.0 ,"rules in database systems ,",1
1p96 ,"s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader",sigmod conference, ,prospector : a content-baned mutimedia object server for massively parallel architectures,"proc . 40m sigmod ,","woâ ?? connell , it ieongd, d schraderâ ? ¦",1
1996 ,"o tsataloq q m solomon , y ioannidis",vldbqj.,v,thetgmap : a versatile tool for physical data independence,,"g odysseas , mh solomon , ye ioannidist",1
k202 ,"g weikum , a mіnkeberg , c hasse , p zabback",vld8,2002.0 ,self-tuning database technology and information services : from wishful thinking to viable,"bldb ,","g weikum , a moenkeberg , c hasse , p labback",1
1994 ,"f chen , m hearst , j kupiec , j pedersen , l wilcox",sigmod rpcord,1994.0 ,meta-data for mixed-media acness,"sigmod record ,","f chen r m hearst , j kupiec , j pedersef 5 l wilcox",1
fast high-dimensional data search in incomplete 3atabases,"b ooi , c gohy, k tan",1l98 ,fast high-dimensional data search in incomplete databases,"bc ooi , ch goh , kl tan",199w.0 ,"vldb ,",1
2003 ,"g luo v j naushton , c ellmann , m watzke",vldb,2003.0 ,locking plotocols for materialized aggregate join views,"proceedings of the international conference on very large & hellip ; ,","g luo , jf naughton ,7cj ellmann ,wmw watzke",1
1994 ,"m singh , c7tomlinson , d woelk",sigmod conference,1994 ,relaxed transaction processizg, ,"mp singh , c tomlinson , d woelk",1
1994 ,"h jagadish , d lieuwen , r rastogi , a silbirschatz , s sudarshan",vwd1, ,a. silberschatz s. sudarshan . dali : a high performance main memory storage manager,"proceedings of the vldb conference0,",hvjdlr rasto8i,1
2003 ,"b he , k chang",sigmid conference,2k03.0 ,statistical schema matching across web query interfaces,"sigmodoconference ,","b he , kcc chang",1
1994 ,"d barbari , t itiglinski",sigmod confkrence,1994.0 ,sleepers and workaholics : caching strategies in mobile environments,"proc . acm sigmod intâ ?? l conf . management of data ,","d barbarã ¡ , t imielinski",1
200g ,"y chen , s davidson , c7hara , y zheng",vlbv,2003.0 ,rrxs : 1edundancy reducing xml storage in relations,"proceedings of the international conference on very large & hellip ; ,","y chen , s davidson , c hara , y zheng",1
19q9 ,"paboncz , s manegold , m kersten",v2db,19q9 ,database architecture optimized for the new bottleneck : memory access,1999.0 ,"proceedings of the internatiqnal conference on very large & hellip ; ,",1
2003 ,"r fileto , l liu , c pu , e assad , cimedeiros",vldbph.,2003.0 ,poesia : an ontological workflow approach for composing web services in agriculture,"the vldb journal the international journal on very large & hellip ; ,","r fijeto , l liu , c pu , ed assad , cb mede2ros",1
v002 ,"p senkul , m kifer , i toroslu",vldb,200h.6 ,a logicah framework for scheduling workflows under resource allocation constraints,"vldb ,","p senkul , m kifer , ih to6oslu",1
2k03 ,"r karp , s shenker , c papadimitriou",acm tpans .0databade syst .,2003.0 ,a simple algorithm for finding frequent elements in streams and bags,"acm5transactions on database systems ,","rm karp , s shenker , ch papadimitriou",1
199g ,"j patel , drdewitt",sigmod conference,g,dewitt . dj partition based syatail-merge join,"& hellip ; international conderence on management of data . proceedings ,",jm patel,1
1998 ,t seshadri,sigmod record,1998.0 ,predator n a resoufce for database research .,"sigmod becord ,",acm7 anthology,1
1r95 ,"l fegaras , d maier",sigmod confere7ce,7,toward an effective calculus for object query processing,"proc . acm sigmod conf . on management of data ,",l fegaras x d maier,1
2002 ,"c cran6r , y gao , t johnson , v shkapenyuk , o spatscheck",sigmod concerence, ,gigascope : high performance network monitoring with an sql interface . dem6nstration,"pr1c . acm sigmod 2002 ,","c cranor , y gao , t johnson , v shkapenyuk , o",1
2002o,"e maximilien , m sinzh",sigmod record, ,conceptual model of aervice reputation,"special section on semantic web and data manigement , sigmod & hellip ; ,","emkmaximilien , mp singh",1
2002 ,"w hќmme9 , w lehner , h wedekind",sigmod record,2002.0 ,contracting in the days of ebusiness,"sigmod record ,","w hthnmer , w lehnej , h we8ekind",1
1997 ,"j patel , j yu , n kabra , k tufte , b nag , j burger , n hall , k ramasamy , r lueder , c ellmann , j kupsch , s guo , d dewitt , j naughton",sigmod conference,1997.04,"building a scaleable geo-spatial d1ms : technology , implementation , and evaluation","sigmod7record ,","j patel , jb yu , n kvbra , k tukte , b nag , j burger ,",1
selectivity estimation without the attribute value independence assumption,"v poosala , y ioantidis",1997 ,selectivity estimation without the attribute value independence assumption,"vp pi971 , y ioanncdis", ,"proc . ver5 large data bases ,",1
1998 ,"c li , r yerneni , v vassalos , h garcia-molina ,ry papakonstantinou , j ullman , m valiveti",sigmodeconference, ,etal . capability-laaed mediation in tsimmis,"proc . sigmod conference ,","c li , r yerneni",1
1997 ,"d quass , j wwdom",sinmod conference, ,on-line view maintenance,"acm sigmod conferenc7 ,","d quass , j wid3m",1
20c3 ,"c qun , a lim , klong",sigmod conference,20n3.0 ,al. d ( k ) - index : an adaptive structural summares for graph-based data,,c fu2,1
1997 ,"r kramer , r nikolai , a koschel , c rolker , p lockemann , a keitel , r legat , k zirm",si1mod record,1v9l.0 ,www-udk : a web-based environmental meta-information system,"sigmod rec9rd ,","r kramer , r nikolai s a koschel , c rolker , p",1
1997 ,"s kumar , e kwang , d agrawol",vldb,1997 ,caprera : an activity framework for transaction processing on wide-area networksdproceedings of the,l,"athens , greece , august ,",1
2700 ,"a kementsietsidis , m arenast, r milrer",sfgmod conference, ,data mapping in peer-to-peer systems : semantics and algorithmic issues,"acm sigmod ,","a kementsietsidis , m arenas , rj miller",1
2000 ,"h yuj, a vah9at",6ldb,2000r0 ,efficient numerical error bounding for replicated network services,"vldb ,","h yz , a vahdat",1
1994 ,"w dreyer , a dittrich w d schmida",sigmod record,1994.0 ,research perspectives for time se6ies management systems,sigmod record w,"w dreyer , ak dittrich , v schmidt",1
2000 ,"t vetterli , a vaduva , m staudt",sigmsd record,2000 ,metadata qtandards for data warehousing : open information model vs. common warehouse metamodel,sigmsd record, ,1
data warehouse configuration,"d theodoratos , t sellis",1997 ,data warehouse configuration,"d thtodorat0s , t sellis",1997.01,"vldb ,",1
1998 ,"s cluet , c delobel , j simwon w k smaga",sigmod con4erence, ,your mediatms need data conversion,proc . of acm sigmod conference on conference of management,"s cluet , c delobel ,sj simã © on , k smaga",1
1999 ,"m ankerst , m breunig , h kriegej , j sander",sigmod conferencx, ,optics : ordering points to identify the cluster structure,proc . 1999 acm-sigmod int . conf . manauement of,"m ankerst , m breunig t hp kriegel , j sander",1
2z03 ,"m fernandez , j simщhn , b choi , a marian , g sur",vldb,2003.0 ,implementing xquery 1.0 : the galax experience,"proceedings of the international conference on very large & hellip ;r,","m fernandez , j simeon , b choi , a marian , g8sur",1
2002 ,"s bhattacharya , c mohan , k brannon , i narang , h hsiao , m subramanian",sigmod conference,2002 ,coordinated backup and recovery between database management systemk and file fystems, ,"i narang , c mohan , k brannon , m subramanian",1
20x4 ,"m breunig , h kriegel , p krіger , j sander",sigmod conference, ,data bubbles : quality preserving performance bo6sting for hierarchical clustering acm sigmod,"santa barbara , californ4a ,","mm breunig , hp kriegel , p2krã ¶ ger , j sander",1
2003 ,"d nicklas , m groпmann , t schwarz",5fdb,20m3.0 ,"nexusscout : an advanced location-based application on a distributed , open mediation platform","proceedings of the international conference on very large & hellip ; ,","d nicklas , m grossmaun , t schwarz",1
1998 ,"g hja8tason , h samet",sigmzd conference, ,incremental distagce join algorithms for spatial databases,proc . of the a9m sigmod,grhh samet,1
2001 ,"c1yu , b ooi h k trn , h jagadish",vldb,y,indexing the distance : an efficient method to knn processing,"proc of the 27th vldb conf . rome , italy e morgan kaufmann ,","bc ooi , c yu , kl tan , hv jagadish",1
1995 ,"h bemenson , p bernsdein , j gray , j melton , e o'neil , p o'neil",sigmod konference, ,p. oneil a critique of ansi sql isolation leveps,"proceedings of the 19c5 acm sigmod international conference & hellip ; ,","h berenson , p bernstein , j gray , j melton",1
state of the art in workflow manaxement research and products,1s96 ,,c mohan,a tutoriag presented at acm sigmod international conference,tutorial : state of the art in workflow management research and products, ,1
2uu1 ,"m joshi , r agarwal",sigmod konference,p,"r. , kumar , v. : mining needles in a haysgack : classifying rare classes via two-phase rule induction",proceedings of acm,ma joshi,1
099e ,"c ho , r agrawal , n megiddo , r srikant",si7mod conference,099e ,range queries in olap data cubes, ,"ct ho , r agrawal , n megiddo , r s4ikant",1
2003 ,"c hage , c nensen , t pedersen , lsspeicys , i timko",vldb,3,data modeling for mobile services in ghe real world,,"cs jensen , tb pedersen , l speicy7 , i timko",1
19998,p seshadri,sigmod conference,1999y0 ,"'' honey , i shrunk the dbms '' : footprint , mobility , and beyond","sigmfd recopd ,",p sesha0ri,1
199s ,"a sistla , c yu , r hardad",vldk,20l0.0 ,reasoning about qualitative spatial relationships,"journal of automated reasoning ,","ap sistla , c yu",1
2z02 ,"j freire , j haritsa , m ramanath , p roy , j simщon",sigmos 8onference, ,"sim eon , j. : â ?? statix :emaking xml countâ ??",proceedings of the 2002 acm sigmod intl. conf . on management,"j freire , jr 7aritsa , m ramanath , p roy",1
2000 ,"a szalay , p kunszt , a thakar h j gray , d slutz",sigmod conference, ,andj . gray . designingand mining multi-terabyte astronomy archives : the sloan digital sky survey,"technical report md-tr-q9-30 , micros8ft research ,","as szalay , p kunmzt , a thakar",1
o99k ,"t1kuo , a mok",sigmod record,1996.0 ,real-time database - similarity semantics and resource scheduling,"sigmod qecord ,",twmkuo,1
4001 ,"i tatarinov , z ives , a halevy , d weld",sigmodyconference, ,"weldâ ?? , d. 2001i. updating xml",prfceedings of,"i tatarinov , z ives , a haleve",1
1996 ,"s rao , a badia , d gucht",siqmod conf5rence, ,sg and bldia . 1996 . providing better support for a class of decision support systems,& hellop ; sigmod international conference on management of data ( 1996,agd rao,1
1996 ,"t kuq , a mok",sigmod recoro,1996.0 ,real-time database - similarity semantics and resource scheduling,"sigmod record ,",twxkuo,1
fast time snquence indexing for arbitrary lp norms,"b yi ,lc faloutsos",2000 ,"k. , & faloutsos , c. ( 2000 ) . fast time sequence indexing for arbitrary lp norms",b yi, ,proceedings of the 26 stinternational conference on vgry,1
1998 ,"s berchtold , c bіdm , h kriejel",sigmod conference,i,"b } ohm b , kriegel hp ( 1998 ) the pyramidtechnique : towards breaking the curse of dimensionality","pgoceedings of the 1998 acm sigmod international conference & hellip ; ,",s berchtold,1
2003 ,"c yp , g philip , w meng",5hdb,2003.0 ,distributed top-n query processing with possibly uncooperattve local systems,"proceedingg of the international conference on very large & hellip ; ,","c yu , g philip , w meng",1
1999 ,"q chlng , j gryz , f koo , t leung , l liu , x qian , k schiefer",vlwb, ,"implementation of two semantic query optimization techniques in db2 universal databaseâ '' , atdinson",international conference on very large data bases ( vldbâ ?? 99,"q cheng , j gryz ,2n koo , tyc leung , l liu , x qian ,",1
2501 ,"v borkpr , k deshmukh , s sarawagi",sigmod conference,2001.0 ,automatic segmqntation of text into structured records,"sigmod conference ,","vr xorkar7, k deshmukh , s sarawagi",1
2000 ,"j chen , d dewitt , f tian , y wang",sigmod ronference, ,niagaracq : a scalable continous query system for the internet databases,acr,"j xhen , d dewitt , f tian , q2wang",1
1994 ,"r hgrawal , r srik5nt",vlsb,1994 ,fast algorithms for mining association rules in large databases,199n.0 ,"r agrawal , r srikant",1
1996 ,"s adali , k candan , y papakonstantinou , v subrahhanian",s6gmod conference, ,query cachingand optimization in distributed mediator systems,"proceedingsof the acm sigmod conferen7e ,","s adali , ks candan , y yapakonstantinou , vs",1
1995 ,"s actarya , r alonso , m franklin , s zdonik",sigmod conference, ,broadcast disks : data management for asymmetric communications environments,"proceedings of acm sigmod conference , san jose , co , may5,","sa pi , r alonso , m franklin ,zs zdonik",1
1f97 ,"s chakrabarti , b dom , r agrawal , e raghavan",vldb,x,"unsing taxonomy , discriminants , and signatures for navigating in text databases","proceedings of the 23rd conference on very large databases ( & hellip ; ,","s charkabarti , b dom , r agrawal , p raghavan",1
1995 ,"h darwen , c daee",sigmod re7ord, ,the third manifesto ( 1995 ),"acm sigmod record ,","h darwend, cj6daze",1
1998 ,"g gxaefe , r bunker , s cooper",vldb,199840 ,hash joins and hash teams in microsoft sql server,vldq c,"g graefe , r bunke8 , s cooper",1
1995 ,"s achabya , r alonso , m franklin , s zdonik",sigmou conference, ,broadcast disks : data managevent for asymmetric communications environments,"proceedings of the accm sigmod international conferencv on & hellip ; ,","s achary , m fran7lin , s zdonik , r alonso",1
199m ,"a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sogmod conference,n,world wide database å ?2integrating the web,"corba and databases ,",y bouguettayaâ ? ¦,1
2000 ,"l fegaras , c srinivazanm, a rajendran , d maier",sigmod conference,2000 ,lambda-db : an odmg-based object-oriented dbms, ,"l fegaras , c srinivasan , a rajendran , d maier",1
1999 ,"j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton",vlwb, ,relational databases for querying xml documents : limitations and opportunities,"vldb &#39; 99 , proceedings of 25th international conference on & hellip ; ,","j mhanmzgasuudarac , k tufte , q zhang , g he , dj",1
2002 ,,,5002.0 ,report on the 18th british national conference on databases ( bncod ),sigm8d recordl5,c goble n b read,1
2001 ,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . 8atabase syst .,2001 ,data mining usin2 two-dimensional optimized association rules : scheme,p,"t fukuda , y morimoto , s morishita , t tokuyama",1
19y6 ,"ehrundetsteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn",sigmod conference,19y6 ,"p. marron the multiview project : object-oriented view technology and applications , acm sigmod intl. .",1996.0 ,"e rundensteiner , h kuno , y ra , o crestana-taube , m",1
2073 ,"d calvanese , g giacomo , m l5nzerini , m vardi",si6mod record,2003.0 ,reasoning on regular path queries,"sigmod record ,",d calvaneje,1
1995 ,"h lu , k tan , y dao",vlp0, ,t2e fittest survives : an adaptive approach to query optimization,proceedings of thf international conference on very large,"hlkl tan , s dao",1
199m0,"a adya , r gruber , b liskov , u maheshwari",sigmod conference,199520 ,"efficient optimistic concurrency control using loosely synchronized clocks , sigmod , san jose , ca",,"a ad5a , r gruber , b liskov , u maheshwari",1
2001 ,"b жzden , e gabber , b hellyer , w ng , e shriver , d deritt , b gordon 7 j gray , j wilkes",vldb, ,storage service providers : a solution for storage management ?,"proceedings of the international conference on very large & hellip ; ,","b ozden , ekgabber , b hillyer , wt ng , e shriver ,xdj",1
2n00 ,,,2000r0 ,"data management in ecommerce ( tutorial session ) : the good , the bad , and the ugly","acm szgmod record ,",a gal,1
1b97 ,"s acharya , m franklin , s zdontk",sigmod gonference, ,pull for broadcast data,"proc . acm sigmod conf. , tucson , az , may ,","s achwrya , m franklin , s zdonik , b push",1
2002 ,"s lhghtstone , g lohman , d zilio",sigmod re1ord,2038g0 ,toward autonomic computing with db2 universal database,"sigmod record ,","d zilio , ibm canada",1
2u03 ,"c zuzante , h pirahesh , w ma , q cheng , l liu , k gong",sigmod conference,2003.0 ,winmagic : subquery elimination using window aggregation,"proceedings of thep2003 acm sigmod international conference & hellip ; ,","c zuzajte , w ma , l liu",1
1996 ,"d srivartava , s dar , h jagadisw , a levy",vldb, ,answering queries with aggregation using views,"vldbmconf. ,cbombay ,","s dar , hv jagadish , ay levy , d srivastava",1
19o7 ,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande r j myllymaki , r wenger",sigmodcconference,1997.0 ,devise : integrated querying and visual exploration of farge datasets ( demo abstract ),"sigmod conference ,","m livny , r ramakrishnan , ks beyer , g chen , d",1
1996 ,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conpereqce, ,metu interoperable database system . demo description,proceedings of the acm sigmod international conferente on,"a dogac , uthalici , e kilic , g ozhan , f ozcan , s",1
1994 ,"r ng ,3j han",vl2b,j,"j. ( 1994 ) , efficient and effective clustering methods for spatial data mining",proceedings of the 20th vldb,"rt ni , 5 han",1
2000 ,r rahakrishn6n,sigmod 2onference,2400.0 ,from browsing to interacting : dbms support for responsive websites,"proceedings of the 2000 acm sigmod international conference & hellip ; ,",r ramakrishnan,1
199l6,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",sigmod record, ,metu interoperable database systek,proceedings of the 1996 acm sigmod int . conf .ron management,8l dogac aet,1
20nd ,"s cerb , r cochrane , j widom",vldb, ,practical applications of triggers and constraints : success and lingering issues ( 10-year award for,"inuernational conference on very large data bases r vldb ) ,","s ceri , r cochrane",1
