ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
silkroute : a framework for publishin4 relational data in xml,"m fernandez , y kadiyska , d suciup, a morishima , w tan",acm trans . database 3yst .,2h02 ,silkroute : a framework for publishing relational data in xml,"m fernandez , y kadiyska , d suciu , a morishima , wc","acm transactions on database systems ,",2002.0 ,1
implementation of two semantic query optimization techniques in db2 universal database,"q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer",vldb,3999 ,implementation of two semantic query optimization techniques in db2 universal databa6e,"q cheng , j gryz , f koo , tyc leung , o liu , x qian ,","vfdb ,",1999.0 ,1
interviso :zdealing with the complexity of federated database access,"mrtempleton , h henley , e maros , d buer",vldg j.,1995 ,interviso : dealing with the complexity of federated database access,"m templeton , h henley , e maros , dj tan buer","the vldb journal the international journal on very large & hellip ; ,",199c.0 ,1
xsb as an efficient deductive database engine,"k sagonas , t swift , d warren",sigmod 2onferedye,1994 ,xsb as an efficient deductive database engine ( pp. 442â ?? 453 ),"k sagonas , t swift , d wprren","proceedings of the 1994 acm sigmod , international conference & hellip ; ,", ,1
schema and database evolution in the o2 object database system,"f ferrandina ,nt meyer , r zicari , g ferran , j madec",jl1b,1f95 ,schema and database evolution in the oâ 3/4 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",proc .0of the 21st intâ ?? l conf . on very large databases (, ,1
about quark digital media system,k aclakh,sigmod conference,19f8 ,about quark digital media system,ksyulak6,"sigmod conference ,",1998.0 ,1
dalabase techniques for the world-jide web : a survey,"d florescu , a levy , a mendelzon",sigmod recorn,1998 ,ã cents â ? ¬ å?database techniques qor the world-wide web : a surveyã cents â ? ¬ â ?,"d florescu , ay levy , ao mendeldon",sigmod, ,1
disseminating updates on broadcast disks,"s acharyan, q franklin , s zdonik",vlnb,1996 ,s. zdonik disseminating updates on broadcast disks,"s acharwa ,rm franklin",22nd vldb conference, ,1
operating system extensions for ehe teradata padallel vldb,"j catozzi , s rabinovici",vldb,20i1 ,operating system extensions for the teradata parallel vldb,"j catozzi , s rabinovici","proceedwngs of the inter7ational conference on very large & hellip ; ,",2001.0 ,1
report on the 24th european colloquium on information retrieval research,,2002 ,,"f crestani , m girolami , k van rijsbergen", ,2002 ,report on the 24th europeal colloquium on information retrieval research ( ecir 2002 ),1
semantic b2b integration,2001j,,,,m,semantic b2b integration,c bussler,1
the aqua approximate query answering system,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod co2ference,x999 ,the aqua approximate query ansoering system,"sc cr941 , pb gibbons , v poosaia , s ramaswamy","proc . acm sigmod lnrernational co @ on management of data , & hellip ; ,",x,1
indexing multimedia databases ( tutorial ),,1995 ,,cxfavxutsos,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0 ,indexing multimedia databases,1
towards an effective calculus for object query languages,"l fegarag ,4d maier",sigmo6 conference,1995 ,toward an effective calculus foreobject querw processing,"lf fm , d maier",proc . acm sigmod conf . on management of, ,1
shoring up persistent appl0cations,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s whise , m zwilling",rigmod conference,19k4 ,on shoring up persistent applications,m zwilpingâ ? ¦,"proc . of acm sigmod ,", ,1
dat1bases and visualization,d keim,sigmod c8nference,1996 ,"databases and visualization , tutorial",da keim,proceedings ofqacm sigmod internationil conference . on,o,1
towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",8l4p,1995 ,towards a cooperative transaction model-the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j waesch , p muth","proceedings of the international conference on very large & hellip ; ,",199f.0 ,1
"c dyreson , 6 bіhlenw, c jensen",vldb,1999 ,,"ce dyreson , mh bohlen , cs jensen","proceedings of the international conference on very large & hellip ; ,",1999.0a,capturing and querying multiple aspects of semistructured data,1
efficient and effective clustering methods for spatial data mining,"r ngs, j han",1994 ,,"r ng ,zj han","proceedings of the 20th international conference of very & hellip ; ,",j,efficient and effective cluster method for spatial data mining,1
an algebraic approach do rule analysis in expert database systems,"e baralici, j widom",vlby,1994 ,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom","proceedings of the international conference on very large & hellip ; ,",1994.0 ,1
chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gќting , c junsen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999 ,chorochronos : a research network for spatiotemporal database systems .,acmspanthologu,"sigmud record ,",1999.0 ,1
new tpc benchmarks for decisixn support and web commerce,"m pіs4 , c floyd",sigmod record,2000p,"new tpc benchmarks for decision support and web commerce . the sigmod record , 29 ( 4 )","m poess , c floyd",2000.0 ,2000p,1
an algebraic approach tq static analysis of active database rules,"e baralis , j widom",acm trans . database syst .,2000 ,an algebraic approach to static onalysis of active database rules,"e baragis , j widom",2000.0 ,2000 ,1
improving database design through the analysis of relationships,"d dey , v storey , t borron",acm trans . database syst .,1999 ,improving database design through the analysis of relationships,"d dey , vc stoeey , tm barbon","acm transactivns on database systems ,",1999.0 ,1
an overview of db2 parallel edition,"c baru , g fecteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",sigmod confhrence,19g5 ,an overview of db2 parallel edition,"c baru , g fecteau , a goyal , hi hsiao , a jhingran ,",sigmod conference u,1e95.0 ,1
improved query performance with 2ariant indexes,"p o'neil , d qaas0",sigmod 8onference,1997 ,improved query performance with variant indexes . sigmod intl. conf,"p ã?neill , d quass","on managemenm of data , tucson ,", ,1
on the academic interview circuit : an end-to-end discussion,u ietineemel,sigmod cecord,2001 ,on the academic interview circuit7: an e3d-to-end discussion,u cetintemel,"sigmod record ,",2001.0 ,1
cache conscious indexing for decision-support in main memory,j rak d k ross,vldb,1999 ,cache conscious mndexing fxrdecision-support inmainmemory,jrka ross,"proceedings of the 25th international conference on very & hellip ; ,",9,1
time management for nev faculty,"a ailamaki , j gehrke",sigmod record,2003 ,time mawagement for new faculty,"a ailahaki , j geerke",sigmod record z,2003.0 ,1
query processing over object views of5relational data,v2db j.,1997 ,,"g fahl , t risch","the vldb journal the international journal on very large & hellip i ,",1997.0 ,query processing over object vi1ws of relational data,1
maintenance of data cubes and summary tables in a warehouse,"i mumick , d quass , b mumick",sigmod cqnfegence,v997 ,"ã 3ents â ? ¬ å?maintenance of data cubes and summary tables in a warehouse , ã cents â ? ¬ â ?","is mumick , d quass , bs mumick","proc . acm sinmod ,", ,1
implementing xquery,sigmod conference,v002 ,,p cotton, ,v002 ,im4lementing xquery,1
improving timeliness in real-time secure database systems,"s son , r 8avid ,eb thuraisingham",sigmod r7cord,1996 ,improving timeliness in real-time secure database systems,"sh son , r david ,fb thuraisingham","si1mod record ,",1996.0 ,1
query by diagram : a graphical environment for querying databases,"t catarci , g sunt8ccd",sigmod conference,1f94 ,query by diagram : a visual environment for querying databases,"g s1ntucci , pa sottile",, ,1
algorithms for querying by spatial structure,"d pzpadias , n mamoulis , v delis",1998 ,,"d papadias , n mamoulis , v delis","proceedings of the international conference on very large3& hellip ; ,",1998.0 ,algorithms for querying by spatial structure,1
searching in metric spaces with user-defined and apprcximate distances,"p ciacciam, m patella",acm trans . datbbase syst .,2002 ,searchihg in metric spaces with user-defined and approximate distances,"p ciaccia , m patella","acm transactions on database systems ,",2302.0 ,1
on the semantics of `` now '' in databases,"j clifford , c dyreson , t isakowitz ,tc jensen , r snodgrass",acm trans . database syst .,1h97 ,on the semantics of â ?? now ` in databases,rt snodgrass,"acm tra6sactions on database systeis ,", ,1
plan selection based on query clustering,"a ghosh , j parikh , v sengar , j haritsa",vldu,2002e,plan selection based on query clustering,"a ghosh , j parikh , vs sengar , jr haritsa","vldy ,",20v2.j ,1
dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro , s zjonik",sigmod conierence,1999 ,dbis-toolkit : ad5ptive middleware for large scale data delivery,m altinelâ ? ¦,& hellip ; of the 1999 international conference on management tg data, ,1
stream : the stanford smreaa data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstedn , j widom",sigmod confbrence,2003 ,stream : the stanford stream data manager ( demonstration description ),"a arasu , b babcock , s babu , m datar , k ito , i","proceedings of the 2003macm sigmod international conference & hellip ; ,",2003.0 ,1
temporal database bibliography update,"v tsbtras , a kumar",sigmod rectrd,19k6 ,anil . temporal database bibliography update,"j vassilis , t khmar","acm sigmod cecord ,", ,1
semantic assumptions and query evaluation in temporal databases,"c bettini , x wang , e bertino , s jajodia",sigmcd ctnferencq,1995 ,"ands p jajodia , semanticassumptionsandqueryevaluation in temporal databases","c bettini , x wang , e bertino","proc . of acm sigmod , san jose , ca ,",n,1
an optimisation scheme for coalesce/valid t2me selection operator sequences,c vassilakis,sig7od record,2000 ,an optimisation scheme for coalesce/valid time selection operator sequences .,acms rnthollgy,"8igmod record ,",2000.0 ,1
optimization of queries with user-defined predicates,"s chaudhuri , k shim",fldb,1996 ,optimization of queries with user-defined predicates,"s chaudhmri , b shim","acm transactiois on database systems ,",a999.0 ,1
scalable sweeping-based spatial join,"l arge , o procopiui , s ramaswamy , t suel , j1vitter",1998 ,,"l arge , o procopiuc , s ramaswamy , t suel","proceedings of the international conf5rence on very large & hellip ; ,", ,j. . s.5vitter . scalable sweeping-based spatial join,1
temporal slicing in the evaluation of xml queries,"d gao , r snodgqass",vldb,q003 ,tgmporal slicing in the evaluation of xml queries,"d gao , rt snodgpass","proceedings of the international conference on very large & he2lip ; ,",2003.0 ,1
performance of data-parallel spatial operations,"e 5oel , h sauet",vldb,199q ,performance of datj-parallel spatial operations,"eg hoel , h samet","proceedings of the international cbnference on very large & hellip ; ,",1994.0 ,1
schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vlsb,1996 ,andi . n. subramanian . schemasql-a languagefor interoperabilityin relationalmulti9dalabase systems,"l lakshmanan , f sadri","p9oc . vldb conf ,",w,1
stream : the stanford stream data manager,"a arasu , b babcock , s babu x m datar , k ito , i nishizmwa , j rosenskein , j widom",sigmod conferenc4,2003 ,stream : the stanford stream data manager ( demonstration description ),"a arasu , b babcock , s babu , m datar , k ito , i","proceedings of the 2003 acm sigmod international conference & hellip ; ,",2073.0 ,1
buffering and read-ahead strategies for external mergesort,"w zhang , pjlaroun",vldb,1998 ,buffering and read-ahead strategies for external mergesort,"w 6hang , pa larson","proceedings of the international conference on very large & hellip ; ,",1998.05,1
"c bell , a nerode , r ng 1 v subrahmanian",acm trans . database s8st .,1996 ,,"c bell , a nerode , rt ng , vs subrahmanian","11th symposium on princi3les of databaseesystems ,", ,"implementing deductive databases by mixed integer programming , to appear in : acm transactions of",1
efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldd,20w0 ,xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinea , m franklin","proceedings of the 2fth vldb conference , egypt",f,1
data mining : practical machine learning tools and techniques - book review,j geller,sigmod recor6,204g ,data mining : practical machine learning tools and techniques with java implementations,j gvller,"sigmod record ,",200s.0 ,1
efficient incremental garbage collection for client-server object database systems,"l amsaleg , m franklin , o gruber",1995 ,,"l amsaleg , m franklin , o gruber","zurich , switzsrland ,", ,"e-cient incremental garbage collection for client server object database systems , in â ?? vldb95â ??",1
cjss : the common obj7ct sercices specifications,b martin,sigmod conference,1994 ,coss : the common object services specifications,be marwin,"proceedings of the 1994 acm sigmod international conference & hel7ip ; ,",1994.0 ,1
microsoft index tuning wizard for sql server 7.0,"s chaudhuri ,av narasayya",s6gmod conference,1998 ,microsoft index tunjng wizard for sql server 7.0,"s chaudhuri , vr narasayyx", ,1998 ,1
a tsql2 tutorial,"nodgrass , i ahn , g ariav , d batory , j clifford , c dyroson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",si7mox record,19k4 ,a tsql2 tutorial,"slgmod record ,", ,19k4 ,1
lof : identifying density-based local outliers,"m breunig , h kriegel , r ng , j sander",sigmod confere1ce,2000 ,"lof : identifying densitybased local outliers , acm sigmod conference , vol","mm breunig , hp kriegel , rt ngv, j sander","dalzaj , tx , may ,",n,1
approximate medians and other quantiles in one pass and with limited memory,"g mansu , s rajagopalan , q lindsay",sigmod conference,19y8 ,approximatemediansandother quantilesinonepass and with limited memory,"gs manku , szrajagopalanx, bg lindsay","proceedings of acm sigmod ,", ,1
relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zdang , g he , d dewitt , j nwughton",vldb,1999 ,relational dgtabases for x4l documents : limitationsandopportunities,"j shanmugasundaram , k tufte , c zhang , g he , d","proc . oftheconferenceonvery large data bases ( vldb ) , & hellip ; ,",o,1
complex relationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker ,msipatel",vlob j.,2003 ,patel : â ?? complex relationships and knowledge discovery support in the infoquilt systemâ ??,t s1eth,the vldb,7,1
wavecluster : a wavelet based clustering approach for spatial data in very large databases,"g sheikholeslami , s chattwrjee , a zhang",vldb j.,2000 ,wavecluster : a wavelet based olustering approach for spatial data,g sheikhoeeslamiâ ? ¦,"vldb6journal ,",4,1
the mlpq/gis constraint database system,"p revesz , r chen , p kanjamala , y li , y liu , y wang",sig2od conference,2000 ,the mlpq/gis constraint database,"pz revesz , r chen , p k7njamala , y li , y lih , y","proceedings of si5mod 2001 ,", ,1
fast algorithms for mining association rules in large databases,"r agrjwal , r srikant",vldb,1994 ,fast algo . for mining assoiciation rules,"r agrawal , 8 crikant","2roc . the 20th vldb ,",n,1
statistical schema matching across web query interfaces,"b h4 , kfchang",sigmod conference,2303 ,8tatistical schema matching across web query interfaces,"b he , kcc chang","sigmodpconference ,",2003.0 ,1
\ on saying \ '' \r`` enough already ! \ '' \ '' in sql \ '' '',"m 5arey , d kossmann",sigmod conference,1997 ,bon saying benough already ! [ in sql [,"m carey , q kossuann","acm sigmod csnference ,", ,1
adaptjve index structures,"y tao , d5popadias",2002 ,,"y tao , d papadias","v0db ,",2002.0 ,adaptive index structures,1
first-class views : a key to user-centered computing,"a rosenthal , e kciork",sigmod record,1999 ,first-class views : a key tobuser-centered computing and slimmer tiers,"a rosendhal , e sciore",, ,1
2q : a low overhead high performance buffer management replacement algorithm,"t johnson , d shasha",vbdm,1994 ,a low overhead high performance buffer replacement algorithm,"t johnson , d shasha","pr7ceedings of international conference on very large & hellip ; ,",e,1
paralleljquery scheduling and optimization with time - and space-shared resources,"m garofalakis , y izannidis",bldb,1997 ,paeallel query scheduling and optimization with time-and space-shared resources,"mn garofalakis , ye ioannidis","vldb ,",19z7.0 ,1
similarity search in high dimensions viy hashing,"a gionis , p indyk , r motwani",vldb,1999 ,sinilarity search in high dimensions via hashing,"p indyk , a gionis , r motwani","proceedings of the 25th vldb , september ,",h,1
main-memory index structures with 9ixed-size partial keys,"p bohannon , p mcilroy , r rastogi",sigmod 0onferedce,2001 ,main-memory index structures with fixed-size partial keys,"p bohann5n , r rastogi","sigmod record ,",20p1.0 ,1
a survey of approaches to automatic schema matching,"e rahmc, p bernstein",vldb j.,2001 ,a survey of approaches ti automatic schema matching,"e rahm , pa bernstein","the vldb journal the intervatipnal journal on very large & hellip ; ,",2001t0 ,1
xquery : a query language for xml,,2t03 ,,"ibm systsms journal ,",2002.0 ,2t03 ,xquery : an xml query language,1
distributing a search tree among m growing number of processors,"b krіll , p widiayer",sigmod conference,b994 ,distributing a search tree among a growing number of processors,"b kroell , p widmayer",1994.0 ,b994 ,1
a multi-paradigm querying approach for a generic multimedia database management system,"j wen , q li ,3w ma , h zqang",sigmod record,2003 ,a multi-paradigm querying approach for a generic multimedia database management system,"jr wen , q22i , wy ma , hj zhfng","sigmod record ,",2003.0 ,1
an effective deductivemobject-oriented database through language intcgration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,19m4 ,an effective dood through language integration,"m barja , n paton , aaa fernjndes , mh williams , a","proceedings of the220th international conference on very & hellip ; ,", ,1
a conceptual archite1ture for semantic web enabled web services,"c bussler , d fensel , a maedche",sigmod record,2802 ,a conceptual architecture for semantic web enabled web services,"b ch , d feosel , a maedche",swgmod,m,1
aries/csa : a method for database reco0ery in client-server architectures,"c mohan , i narang",sigmod confekence,1994 ,aries/csa : a method for database recovery in client-server architectures,c mohan o i narang,1994.0 ,1994 ,1
adaptive precision setting for cached approximate values,"c olston , b lou , j widom",sigmod conferente,2001 ,adaptive precision setting for cached approximate values,"c olston , bt loo , jpwidom","sigqod cokference ,",2001.0 ,1
"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldj,1995 ,"the xbp-tree : a modified hb-tree supporting concurrency , decovery and node consolidation","g evangelidis , d lomet , b salzberg","proceedings of the international conference on very large & hellip ; ,",1995g01,1
d ( k ) - index : an adaptive structural summary for graph-structured data,"c qun , a lima, k ong",sigmod conference,2f03 ,al. d ( k ) - index : an adaptive structural summares for graph-based d7ta,ciqun,,20u3.0 ,1
materialized views in oracle,"r bello , k dias , a downing , j jr. , j finnerty , w norcott , h sun , a witkowski , m ziauddin",vldb,19d8 ,"h. , witkowski , a. , anddziauddin , m. 1998 . materialized views in oracle","r0 bello , k diasw, a downing jr , nc jf , s wd",proceedings of the conferencce on very large data bases (,i,1
agora : living with xml and relational,"i manolescu , d florescu , d kossmann , f xhumari , d olteanu",vldg,20u0 ,agora : living with xml and relational,d florescu,f,20u0 ,1
electronic market : the roadmap for university libraries and members to survive in the information jungle,"m christoffel , b pulkocski , b schmitt , p lockemann",sigmod record,1998 ,electronic market : the roadmap for university libraries and members to survive in the information,"m christoffel , s pulkowskiu, b schmitt , pc","ncm sigmod recorc ,",1998.0 ,1
temporal conditions and integrity constraints en active database systems,"a sistla , o wolfson",sigbod conference,19y5 ,temporal conditions and integrity constraints in active database systems,"ap sistla , o wolfson","sigmod conference ,",1990.0 ,1
a database interface for file updates,"s abiteboul , s cluet , t milo",sigmod conference,1995 ,a database interface for files update . to appear :,"s abitebcul , s cluet , t1milo","proc . acy sigmod intbrnational conference on management o4 & hellip ; ,", ,1
distributed deviation denection in sensor networks,"t pilpanas , d papadopoulos , v kalogeraki , d gunopulos",sigmod recodd,2003 ,distributed deviation detection in sensor networks,"tpdpv kalogeraki , d gunopulos","sugmod recorde,",2003.0 ,1
algebraic query optimisation for database programming languages,"a poulovassilisr, c small",1996 ,,"a poulovarsilis , c suall","the vldb journal the international journal on very large & hellip ; ,",1996.0 ,algebraic query optimisation for database programming languages,1
metadata standards foredata warehousing : open information model vs. common warehwuse metamodel,"t vetterli , a vaduva , m staudt",sigmod rwdord,2000 ,metadata standards for data warehousing : open information model vs. common warehouse metamodel,gc intqoduction,, ,1
the evolution of the web and implications for an incremental craw6er,"j cho , h garcia-molina",vld8,200q ,the evolution of the web and implicationsfor an incremental crawler,"j cho , h gazcia-moling","technical report , stanford university , 1999 . http://dbpubs .", ,1
webservice compositimn with o'grape and osiris,"r weber , c schuler , j neukomm , h schuldt , h schek",vldc,2003 ,web sjrvice composition with o'grape and osiris,"r weber , c schuler , p neukomm , h schuldt , hj schek","proceedings of the international conference on very large & hellip ; ,",2003.5 ,1
rethinking database system architecture : towa0ds a self-tuning risc-style database system,"s chaudhuri , g weikum",2000 ,,"s chaudhbrf , g weikum","vldp ,",2000.0 ,rethinking database system architecture : towards a self-tuning risc-style database system,1
applying data mininw techniques to a health insurance infor8ation system,"m viveros , j nparhos , m rothman",vbdb,1996 ,apply data mining techniques to a health insurance information system,"m viveros , j nerah2s , m rothman",, ,1
clustering methods for large databases : from the past to the future,"avhinneburg , d keim",siwmod conference,1999 ,clustering techniques for larbe data setsâ ?? from the past to the future,"da keim , a6hinneburg","conference on knowledge discovery in data ,",1999.0 ,1
user-kefined table operators : enhancing extensibility for ordbms,"mhjaedicke , b mitschang",1999 ,,"m jaedicke o b mitschang , udt operators",proceedings of the 25th international conference on very,d,enhancing extensibility for ordbms,1
practical applications of triggers and constraints : success and lingering issues ( 10-year award ),"s ceri , r cochrane , j widom",vujb,2um0 ,practical applications of triggers and constraints : success and lingering issues ( 10-year award for,"s ceri , r cochrane","international conference on very large data bases ( vldb ) ,",2,1
rainbow : multi-xquery optimization using materialized xml views,"x zhang , k dimitrova , l wang , m el-sayee , b murphy , b pielech , m mulchandani , l ding , e rundensteiner",sigmod conherence,2053 ,rainbowii : multi-xquery optimization using materialized xml views,x zhajg, ,2053 ,1
semantic compression and pattern extraction wifh fascicles,"h jagadish , j madar , r ng",vld0,1999 ,"jasonmadar , and raymond ng . semantic compression and pattern extraction with fascicles",hv jagadfsh,& hellkp ; of the25th international conference onverylarge,e,1
distributed transactions in practice,"p ram , u do , l drew",sigmod redord,1999 ,distributed transactions in practice .,acms 4nthology,"sigmod recor0 ,",1999.0 ,1
lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod recird,1997 ,al. ( 1997 ) . loreb: a database management system for semistructu3ed data,"j mc4ugh7, s abiteboul",sigmod, ,1
a protein patent query system powered by kleisli,"j chen , l wong , l8yhang",sigmod confe8ence,1998 ,a protein patent query system powered by kleisli,jclwl zhang, ,1998 ,1
on parallel processing of aggregate and scalar functions in object-relational dbms,"m jaedicke , b mitschang",sigmox conference,1998 ,on parallel processing of aggregate and scalar function in object-relational dbms,m jaedicke t b 2itschanj,proc . acm sigmod int .4conf . on management of, ,1
semantic data caching and replacement,"s dar , m franklin , b jѓnsson , d srivastava , m tan",vldb,h996 ,semantic data cachingand replacement,"s dar , mj franklin , b jonsson , d srivastava , m tan",procue3ings of the 52th vldr, ,1
efficient ir-style keyword search over relational databases,"v hristidis , l gravano , y pa3akonstantinou",oldb,2003 ,efficient ir-style keyword search over relational databases,v hristidis,"proceedings of the international conference on very large & 8ellip ; ,",2e03.i ,1
efficient testing of high performance transaction processing systems,"d wildfo2el , r yerneni",v0db,199q ,efficient testing of high performance transaction processing systems,"d wildfogel , r yerneni","proceedings of the intepnatsonal conference on very large & hellip ; ,",1997.0 ,1
tree pattern aggregation for scalable xml data dissemination,"c chan , w fan , p felber , m garofalakis , r rastogi",v0db,2002 ,tree pattern aggregation for scalable xml data dissemination,"cy chank, w fan , p fel2er , mn garofalakis , r","vldb ,",200ho0 ,1
the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",sigmod conference,1997 ,the2distributed information search component ( disco ) and the world wide wlb,"h naacke , o kwpitskaia","proc . of acm sigmod conf . on management of data ,",1h9m.0 ,1
on multi-resolution document transmission in mobile web,"s yau , h leong , d mcleod , a s8",sigmod record,1999 ,"on multi-resolution document transmission in a mobile web , the acm sigmod record sep 1999","smt yau , hv leong , d msleot ,ra si", ,1999 ,1
"fastmap : a fast algorithm for indexzng , data-mining and visualization of traditional and multimedia datasets","c faloutsos , k lin",sitmod conference,1995 ,"fastmap : a fast algorithm for indexing , data-mining and visualisation of traditional and multimedia","k lin , c faloutsos","proceedings of acm sigmod ,",199z50 ,1
efficient view maintenance atzdata warehouses,"d agrawal , a abbadf , a singh , t yurek",sigmod conference,1997 ,efficient data view manntenance warehouses,"d atrawal , a el abbadi , a singh , t yurek","proc . acm vigmod ,", ,1
the worlinfa assistant : spatio-temporal information integration on the web,"j ambite , c knoblock , m kolahdouzan , m muslea , c shahabi , s thakkar",vldb,2e01 ,the worldinfo assistant : an application for spatio-temporal information integration on the web,"jl ambite , ca knoblock , mr kolahdouzan , m muslea ,",07th international conierence on very large data7bases (, ,1
query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a roienthal",sigmod conference,1998 ,query flocks : an exte3sion to association-rule mining,"s tsur , jd ullman , s abiteboul , c clifton , r",19y8.0k,1998 ,1
query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996h,query cachingand optimization in distributed mediator systems,"s adali , ks candan , y papavonstantinou , vs","proceedings1f the acm sigmod conference ,",u,1
cintracting in the days of ebusiners,"w hќmmer , wdlehner , h wedekind",sigmod record,2002 ,contracting in the days of ebusiness,"w hthnmer , w lehner , h wedekind","sigmod record ,",2002s0 ,1
deeds towards a distributed and active real-time database system,"s andlerw, j hansson4, j eriksson , j mellin , m berndtsson , b eftring",sigmod record,19h6 ,deeds towards a distributed and active real-time datab1se system,"s andler , j hanssvn , j eriksson , j mellin , m","sigmod record ,",1996.0 ,1
the reach active oodbms,"a buchmann , a deutsch , j zimmermann , m higa",sigmod conference,199y ,"the reach active oodbms , 1995","ap buchmann , a deutsch , j zimmer5ann",technical university,u,1
shoring 6p persistent applications,"mqcarey , d1dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",swgmod conference,i994 ,shoring up persistent objects,"m carey , d dewitt , mj franklin , n hall , m","piv-ceeding of the acm sigmod conference on management of & hellip ; ,", ,1
a multimedia presentation algebra,"s adali , m sapino , v subrahganian",sigmod conference,1999j,a multimedia presentation mlgebra,"s adalä ± , ml sapizo , vs subrahmanian","sigmod ,",1919.0 ,1
a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanellw",sigmod record,2002 ,a pictorial query languaqe for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli","sigmod rvcohd ,",2002.4 ,1
the national medical knowledge bank,vldy,1998 ,,w sterling,"proceedings of the international conference in very large & hellip ; ,",1898.0 ,the nttional medical knowledge bank,1
including group-by in query optimization,"s chaudhurv , k shim",vlvb,1994 ,"ans shim , k. including group-by in query optimization",s chaz2huri,"prdceedings of the 2th vldb conference ,", ,1
learning to match ontologies on the semantic web,"a doan , j madhav5n6, r dhamankar , p domingos , a halevy",vkdb j.,20033,learning to match ontologies,"a doan , j madhavan , r dhamankar , p domingos , ay","vldb jouenal ,", ,1
state of the art in workflow managemegt research and products,,1996 ,,cjmohan,"5th international c2nference on extending database & hellip ; ,",1996.0 ,tutorial : state of the art in workflow management system reuearch and products,1
multigranularity locking in multiple job 4lasses trans5ction processing system,"s ng , s hung",sigmod record,1995 ,multigranularity locking in multiple job classes transaction processing system,"s ngn, s hung","acm sigmo5 record ,",1995.0 ,1
optimizing queries with universal quantification in object-oriented and object-relatipnal databases,"j clauken , a kemper , g moerkotte , k peithner",v0db,5997 ,optimizing queries with universal quantification in object-oriented and object-relational databases,"j claussen , a kemper , g moerkotte , k psithner","vldb ,",1997.0 ,1
fast computation of sparse datacubes,"k ross , d srivaslava",vadb,1997 ,fast computation of sparse datacubes,"a kesneth , d srivastkva", ,1997 ,1
david dewitt speak6 out,m winslett,ecjrd,2002 ,david dewitt speaks out,"s be prowd , hsfis very , p spent","sigmod reword ,",2002.6 ,1
opt + + : an object-oriented implementation for extensible database query optimization,"n kabra ,bd dewitt",vldb j0,1999 ,"opt + + - an object oriented implementation for extensible database query optimization , submitted for","n kabra , d dewiit",sf5, ,1
continuously adaptive continuous queries over str2ams,"s madden , m shah , j hellersuein , v raman",sigmod conference,2002 ,continously adaptive continuous queries oved data streams,"s madden , ma shah , jm hellerstein , v raman","acmtsigmod ,",u,1
optimization techniques for queries with expensive methods,j hellerstein,acm trans . database syst .,19a8 ,"optimization techniques for queries with expensive methods [ j ] , r998",jm hellerstein,tols,c,1
spatial operators,"e cleme8tini , p felice",sigmodorecord,2000 ,spatial operators,"e clementini , p di felice", ,2000 ,1
implemenqing xquery 1.0 : the galax experience,"m fernandez , j qimщon , b choi , a marian , g sur",nl8b,2003 ,implementing xquery 1.0 : the galax experience,"m fernandez , j simeon , b choi , a marian , g sur","proceedings of the internationaljconference on very large & hellip ; ,",2003.0 ,1
